,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
0.0,0,0.0,12,3974.0,6564.0,260.01599999999996,5.0,7.0,12,EL,0.07690397650003433,0.705023467540741,0.013152703642845154,0.0020739987958222628,0.16746844351291656,0.032682761549949646,0.0026946295984089375,0.9014321565628052,0.092206098139286,0.006361708510667,4.857142857142857,2.1007142857142855,0.552625,0.958,0.063,0.462625,0.681,0.24,0,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,3974.0,6564.0,260.01599999999996,5.0,7.0,3.57
1.0,0,0.0,12,5088.0,5592.0,219.08333333333334,10.0,11.0,18,EL,0.010886622592806816,0.15660087764263153,0.8025929927825928,0.003065022174268961,0.012265697121620178,0.00786207802593708,0.006726651918143034,0.0424299351871013,0.8377195000648499,0.1198505759239196,4.631578947368421,2.55,0.6694444444444445,0.828,0.417,0.4926666666666667,0.663,0.245,1,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",5088.0,5592.0,219.08333333333334,10.0,11.0,3.57
2.0,4,0.8153846153846154,12,2996.0,4238.0,200.16666666666666,3.0,4.0,20,EL,0.005602225195616484,0.9141061902046204,0.055767372250556946,0.0007950423751026392,0.006773849483579397,0.01220974326133728,0.004745516460388899,0.8561210036277771,0.1285625547170639,0.0153164668008685,4.304347826086956,2.9050000000000002,0.4461538461538461,0.833,0.061,0.42246153846153844,0.91,0.154,2,"“It’s awful,” he said, breathing hard (although he was only twenty-six he was fat, heavy, and suffered from shortness of breath).",2996.0,4238.0,200.16666666666666,3.0,4.0,3.57
3.0,0,0.0,12,434.0,238.0,262.5,2.0,0.0,2,EL,0.011832593008875847,0.9235582947731018,0.04838227853178978,0.000667218875605613,0.003758154809474945,0.00805728416889906,0.003744143759831786,0.8776171803474426,0.1006994768977165,0.0216832160949707,3.0,2.365,0.061,0.061,0.061,0.786,0.786,0.786,3,“It’s awful!,434.0,238.0,262.5,2.0,0.5882352941176471,3.57
4.0,0,0.0,12,2286.0,2504.0,206.04714285714286,3.0,5.0,8,EL,0.03408033400774002,0.37827762961387634,0.10745116323232651,0.001552476896904409,0.31967273354530334,0.10445750504732132,0.05450812727212906,0.5087932348251343,0.4474318027496338,0.043774951249361,4.444444444444445,2.97375,0.6717500000000001,0.729,0.562,0.3255,0.357,0.255,4,Without languages I’m like a bird without wings.,2286.0,2504.0,206.04714285714286,3.0,5.0,3.57
5.0,0,0.0,12,694.0,908.0,185.6,0.0,0.0,9,EL,0.2819383442401886,0.16042788326740265,0.024939727038145065,0.011049716733396053,0.13632531464099884,0.3838024139404297,0.0015165765071287751,0.5046674013137817,0.4609810709953308,0.0343514569103717,3.2222222222222223,2.6666666666666665,0.7344999999999999,0.75,0.719,0.471,0.596,0.346,5,I might just as well give up the work.”,694.0,908.0,185.6,2.1176470588235294,2.3823529411764706,3.57
6.0,4,0.9784172661870504,12,4290.0,5568.0,186.87153846153845,5.0,5.0,26,EL,0.03249230235815048,0.03976759314537048,0.008793443441390991,0.03268519416451454,0.8712578415870667,0.010180587880313396,0.0048230551183223724,0.2506935894489288,0.6685726046562195,0.0807338505983352,3.857142857142857,2.3484615384615384,0.6005454545454545,0.833,0.271,0.44472727272727275,0.689,0.24,6,"And he made up his mind at all costs to overcome his innate laziness, and to learn French and German; and began to look out for a teacher.",4290.0,5568.0,186.87153846153845,5.0,5.0,3.57
7.0,4,0.0161290322580645,12,2962.0,4392.0,166.0,3.0,3.0,24,EL,0.11261457204818726,0.8212560415267944,0.049890100955963135,0.0019409072119742632,0.004888168536126614,0.005220389924943447,0.004189807455986738,0.0514694713056087,0.9013859629631042,0.0471444614231586,4.041666666666667,2.9143478260869564,0.6114166666666666,0.854,0.34,0.36791666666666667,0.596,0.23,7,"One winter noon, as Vorotov was sitting in his study at work, the servant told him that a young lady was inquiring for him.",2962.0,4392.0,166.0,3.0,3.0,3.57
8.0,0,0.0,12,1106.0,958.0,214.33333333333334,1.0,1.0,5,EL,0.052987173199653625,0.0596947968006134,0.09585996717214584,0.004180776886641979,0.765787661075592,0.01652391068637371,0.004965693689882755,0.101723812520504,0.8288127183914185,0.0694634392857551,3.8,2.865,0.5509999999999999,0.571,0.531,0.375,0.44,0.31,8,"“Ask her in,” said Vorotov.",1106.0,958.0,214.33333333333334,1.0,1.0,3.57
9.0,0,0.0,12,1076.0,24338.0,168.75,0.0,0.0,12,EL,0.005333638284355402,0.9466791152954102,0.0034406655468046665,0.0072624944150447845,0.02008022367954254,0.0025166133418679237,0.01468716748058796,0.0165613237768411,0.7899152636528015,0.1935235261917114,4.583333333333333,2.9600000000000004,0.771,0.854,0.643,0.45225,0.616,0.3,9,And a young lady elaborately dressed in the last fashion walked in.,1076.0,24338.0,168.75,1.3691275167785233,1.610738255033557,3.57
10.0,0,0.0,12,2250.0,2522.0,153.55,2.0,2.0,23,EL,0.044977087527513504,0.4052717089653015,0.018401408568024635,0.11700259894132614,0.34603753685951233,0.041412826627492905,0.026896817609667778,0.0273820403963327,0.9048420190811156,0.0677758827805519,4.3076923076923075,2.5185714285714287,0.680125,0.906,0.542,0.390875,0.559,0.24,10,"She introduced herself as a teacher of French,Alice Osipovna Enquête, and told Vorotov that she had been sent to him by one of his friends.",2250.0,2522.0,153.55,2.0,2.0,3.57
11.0,0,0.0,12,0.0,0.0,,0.0,0.0,1,EL,0.007050572894513607,0.0022600279189646244,0.024726441130042076,0.8142812252044678,0.0802353098988533,0.003433010308071971,0.06801334768533707,0.0024085706099867,0.0479586571455001,0.9496328830718994,9.0,,0.938,0.938,0.938,0.664,0.664,0.664,11,“Delighted!,123.75539568345323,321.71223021582733,12.026516383047408,0.1079136690647482,0.11510791366906475,3.57
12.0,0,0.0,12,3900.0,4094.0,163.34375,3.0,3.0,36,EL,0.05152164772152901,0.26672986149787903,0.20768488943576813,0.0038280938751995564,0.3983265161514282,0.06324997544288635,0.00865904986858368,0.0619997940957546,0.7260627746582031,0.2119374126195907,4.527777777777778,3.0222857142857142,0.559,0.875,0.158,0.401,0.708,0.23,12,"Please sit down,” said Vorotov, breathing hard and putting his hand over the collar of his nightshirt (to breathe more freely he always wore a nightshirt at work instead of a stiff linen one with collar).",3900.0,4094.0,163.34375,3.0,3.0,3.57
13.0,0,0.0,12,832.0,1794.0,150.5,0.0,1.0,5,EL,0.011276264674961567,0.005531282629817724,0.010907692834734917,0.004627909045666456,0.2312186062335968,0.004259174689650536,0.7321791052818298,0.1414102613925933,0.8210867047309875,0.0375030189752578,4.333333333333333,2.8675,0.6665000000000001,0.67,0.663,0.36,0.48,0.24,13,“It was Pyotr Sergeitch sent you?,832.0,1794.0,150.5,0.5789473684210527,1.0,3.57
14.0,0,0.0,12,0.0,0.0,,0.0,0.0,2,EL,0.04802868887782097,0.13250653445720673,0.06341639161109924,0.014109298586845398,0.6804285049438477,0.04668869823217392,0.014821825549006462,0.0107611371204257,0.15492844581604,0.8343104124069214,3.0,2.14,,,,,,,14,"Yes, yes...",242.2680412371134,764.9484536082475,34.45681148748159,0.288659793814433,0.288659793814433,3.57
15.0,0,0.0,12,786.0,1052.0,134.0,1.0,1.0,5,EL,0.022830480709671974,0.03402383252978325,0.011413723230361938,0.03948497772216797,0.7436038851737976,0.03459024056792259,0.11405283957719803,0.1418939381837844,0.7922182679176331,0.0658877566456794,3.2,2.992,0.531,0.531,0.531,0.44,0.44,0.44,15,I asked him about it.,786.0,1052.0,134.0,1.0,1.0,3.57
16.0,0,0.0,12,0.0,0.0,,0.0,0.0,1,EL,0.006579917389899492,0.0029147600289434195,0.02754588983952999,0.8321048617362976,0.07633094489574432,0.0030491137877106667,0.05147448182106018,0.0020576973911374,0.0375015102326869,0.9604409337043762,9.0,2.86,0.938,0.938,0.938,0.664,0.664,0.664,16,Delighted!”,155.9770992366412,197.96946564885496,13.24852121222781,0.183206106870229,0.15267175572519084,3.57
17.0,0,0.0,12,1480.0,2140.0,196.5,4.0,3.0,5,EL,0.010180074721574783,0.9151903390884399,0.02241498976945877,0.005455175880342722,0.03147398307919502,0.012622484937310219,0.0026629772037267685,0.1191916093230247,0.8031324148178101,0.0776759833097457,3.4,2.72,0.833,0.833,0.833,0.346,0.346,0.346,17,As he talked to Mdlle.,1480.0,2140.0,196.5,4.0,3.0,3.57
18.0,0,0.0,12,1426.0,1160.0,203.16500000000002,4.0,4.0,7,EL,0.0023813473526388407,0.016874291002750397,0.9507257342338562,0.00509228091686964,0.01703690178692341,0.002057661535218358,0.005831656977534294,0.0102064553648233,0.6128535270690918,0.3769400119781494,4.555555555555555,2.4075,0.7344999999999999,0.75,0.719,0.592,0.755,0.429,18,Enquête he looked at her shyly and with curiosity.,1426.0,1160.0,203.16500000000002,4.0,4.0,3.57
19.0,0,0.0,12,1928.0,3870.0,166.8,0.0,1.0,11,EL,0.004630046896636486,0.05318257585167885,0.0043175057508051395,0.11602651327848434,0.7721548676490784,0.009435243904590607,0.04025329276919365,0.0022631781175732,0.0413098894059658,0.9564269781112672,4.909090909090909,2.23,0.8033333333333333,0.875,0.67,0.39666666666666667,0.5,0.24,19,"She was a genuine Frenchwoman, very elegant and still quite young.",1928.0,3870.0,166.8,2.6258064516129034,1.0,3.57
20.0,2,0.3733333333333333,12,10081.0,11824.0,200.58064516129033,12.0,7.0,58,EL,0.016619309782981873,0.31977060437202454,0.17092879116535187,0.02057378739118576,0.08959725499153137,0.37374600768089294,0.008764340542256832,0.0475532710552215,0.7040281891822815,0.2484185248613357,4.447761194029851,2.809230769230769,0.5645625,0.865,0.164,0.33909374999999997,0.735,0.173,20,"Judging from her pale, languid face, her short curly hair, and her unnaturally slim waist, she might have been eighteen; but looking at her broad, well-developed shoulders, the elegant lines of her back and her severe eyes, Vorotov thought that she was not less than three-and-twenty and might be twenty-five; but then again he began to think she was not more than eighteen.",10081.0,11824.0,200.58064516129033,12.0,7.0,3.57
21.0,2,0.099009900990099,12,4510.0,9542.0,174.40916666666666,8.0,11.0,18,EL,0.8213744759559631,0.1500672996044159,0.0035988695453852415,0.0007593664922751486,0.016158761456608772,0.006072374526411295,0.001968758413568139,0.7063676714897156,0.2830902338027954,0.0105420481413602,3.761904761904762,2.684761904761905,0.6551818181818182,0.844,0.398,0.3941818181818182,0.608,0.173,21,Her face looked as cold and business-like as the face of a person who has come to speak about money.,4510.0,9542.0,174.40916666666666,8.0,11.0,3.57
22.0,2,0.7288135593220338,12,3094.0,4218.0,174.43333333333334,5.0,5.0,34,EL,0.28145653009414673,0.11107143014669418,0.025336341932415962,0.008124704472720623,0.38353076577186584,0.019668249413371086,0.17081193625926971,0.1750298738479614,0.6067764759063721,0.2181936651468277,3.9714285714285715,2.7055882352941176,0.6598461538461537,0.914,0.214,0.5103076923076924,0.72,0.173,22,"She did not once smile or frown, and only once a look of perplexity flitted over her face when she learnt that she was not required to teach children, but a stout grown-up man.",3094.0,4218.0,174.43333333333334,5.0,5.0,3.57
23.0,2,0.1098901098901098,12,2730.0,3726.0,178.72222222222223,3.0,2.0,14,EL,0.005702681839466095,0.018927743658423424,0.0102452477440238,0.004094674251973629,0.9461354613304138,0.007218619808554649,0.007675564847886562,0.0220340006053447,0.8945468068122864,0.0834191292524337,4.375,2.5166666666666666,0.617,0.757,0.458,0.32083333333333336,0.577,0.185,23,"“So,Alice Osipovna,” said Vorotov, “we’ll have a lesson every evening from seven to eight.",2730.0,3726.0,178.72222222222223,3.0,2.0,3.57
24.0,0,0.0,12,1666.0,3534.0,145.91666666666666,3.0,4.0,11,EL,0.35476917028427124,0.1944955438375473,0.029576025903224945,0.0046155862510204315,0.3958503007888794,0.0181707926094532,0.0025225419085472822,0.0997387692332267,0.8253877758979797,0.0748734399676323,4.214285714285714,1.9749999999999999,0.63175,0.802,0.45,0.3695,0.577,0.255,24,As regards your terms—a rouble a lesson—I’ve nothing to say against that.,1666.0,3534.0,145.91666666666666,3.0,4.0,3.57
25.0,0,0.0,12,2360.0,3908.0,202.77777777777777,3.0,3.0,9,EL,0.05987047776579857,0.05769502371549606,0.029106512665748596,0.008529182523488998,0.8240426778793335,0.01754642091691494,0.0032098095398396254,0.0570541620254516,0.8196669816970825,0.1232787072658538,3.0,2.4657142857142857,0.5123333333333333,0.67,0.427,0.36000000000000004,0.467,0.24,25,By all means let it be a rouble. . . .”,2360.0,3908.0,202.77777777777777,3.0,3.0,3.57
26.0,2,0.6141078838174274,12,5440.0,6222.0,167.65,4.0,4.0,48,EL,0.021566784009337425,0.061218809336423874,0.0019931818824261427,0.36951932311058044,0.5305848717689514,0.008292187005281448,0.006824874319136143,0.0133766159415245,0.6138325333595276,0.3727909028530121,3.7755102040816326,2.5927083333333334,0.7118421052631579,0.938,0.493,0.3721052631578948,0.673,0.163,26,"And he asked her if she would not have some tea or coffee, whether it was a fine day, and with a good-natured smile, stroking the baize of the table, he inquired in a friendly voice who she was, where she had studied, and what she lived on.",5440.0,6222.0,167.65,4.0,4.0,3.57
27.0,0,0.0,12,6350.0,7624.0,162.45652173913044,5.0,5.0,46,EL,0.03820931538939476,0.03359409049153328,0.01449909433722496,0.004988581873476505,0.03132770583033562,0.8341341614723206,0.0432470329105854,0.1704133450984954,0.7571645975112915,0.0724221393465995,4.729166666666667,2.7046666666666663,0.6462399999999999,0.931,0.031,0.43996,0.765,0.189,27,"With a cold, business-like expression,Alice Osipovna answered that she had completed her studies at a private school and had the diploma of a private teacher, that her father had died lately of scarlet fever, that her mother was alive and made artificial flowers; that she, Mdlle.",6350.0,7624.0,162.45652173913044,5.0,5.0,3.57
28.0,0,0.0,12,2978.0,3476.0,169.33636363636364,4.0,3.0,20,EL,0.039757147431373596,0.39633849263191223,0.08305814862251282,0.19782543182373047,0.14561554789543152,0.08462151139974594,0.052783720195293427,0.012305618263781,0.5786654949188232,0.4090288877487182,5.285714285714286,2.943,0.6911333333333333,0.968,0.402,0.38666666666666666,0.577,0.185,28,"Enquête, taught in a private school till dinnertime, and after dinner was busy till evening giving lessons in different good families.",2978.0,3476.0,169.33636363636364,4.0,3.0,3.57
29.0,1,0.8133333333333334,12,1602.0,4832.0,202.534,1.0,4.0,11,EL,0.005760356783866882,0.9699336290359497,0.006463887169957161,0.0006265417323447764,0.013385862112045288,0.002964261220768094,0.0008653732948005199,0.0836903154850006,0.818757176399231,0.0975525826215744,4.357142857142857,2.9538461538461536,0.5184,0.847,0.063,0.37439999999999996,0.441,0.315,29,She went away leaving behind her the faint fragrance of a woman’s clothes.,1602.0,4832.0,202.534,1.0,4.0,3.57
30.0,1,1.0,12,2072.0,4782.0,161.6,2.0,3.0,23,EL,0.009500473737716675,0.5153596997261047,0.01655634306371212,0.014167330227792263,0.36937984824180603,0.069725401699543,0.005310945678502321,0.1296668797731399,0.7936363816261292,0.076696753501892,4.695652173913044,2.809047619047619,0.6261,0.833,0.448,0.3424,0.596,0.146,30,"For a long time afterwards Vorotov could not settle to work, but, sitting at the table stroking its green baize surface, he meditated.",2072.0,4782.0,161.6,2.0,3.0,3.57
31.0,1,0.1645569620253164,12,1378.0,1538.0,167.55714285714288,2.0,2.0,15,EL,0.002197114285081625,0.021243518218398094,0.0006455213879235089,0.95391845703125,0.0172489732503891,0.003190877614542842,0.0015555405989289284,0.0037229324225336,0.0632518455386161,0.9330251812934875,3.75,2.5746666666666664,0.8015,0.939,0.635,0.49333333333333335,0.769,0.269,31,"“It’s very pleasant to see a girl working to earn her own living,” he thought.",1378.0,1538.0,167.55714285714288,2.0,2.0,3.57
32.0,0,0.0,12,2972.0,3264.0,176.91666666666666,2.0,2.0,31,EL,0.008296199142932892,0.6586730480194092,0.044259943068027496,0.003059948794543743,0.029568031430244446,0.25376877188682556,0.002374121220782399,0.7506000995635986,0.2195612341165542,0.0298386011272668,4.65625,2.2282758620689656,0.5606363636363636,0.875,0.071,0.47445454545454546,0.82,0.23,32,"“On the other hand, it’s very unpleasant to think that poverty should not spare such elegant and pretty girls asAlice Osipovna, and that she, too, should have to struggle for existence.",2972.0,3264.0,176.91666666666666,2.0,2.0,3.57
33.0,0,0.0,12,406.0,406.0,174.0,0.0,0.0,4,EL,0.0010399254970252514,0.003555272938683629,0.0012447821209207177,0.0022956449538469315,0.009733438491821289,0.974306583404541,0.007824297063052654,0.8327959775924683,0.1450311839580536,0.0221728514879941,2.6,2.6275,0.337,0.449,0.225,0.2775,0.333,0.222,33,It’s a sad thing!”,406.0,406.0,174.0,0.6936416184971098,0.7861271676300577,3.57
34.0,0,0.0,12,5520.0,8201.0,216.7391304347826,11.0,9.0,34,EL,0.006300167180597782,0.2403818815946579,0.00437540840357542,0.4332325756549835,0.28734397888183594,0.010076153092086315,0.018289895728230476,0.0233335997909307,0.3855324685573578,0.5911338329315186,5.777777777777778,2.696060606060606,0.6924285714285715,0.89,0.542,0.4227142857142857,0.67,0.205,34,"Having never seen virtuous Frenchwomen before, he reflected also that this elegantly dressed young lady with her well-developed shoulders and exaggeratedly small waist in all probability followed another calling as well as giving French lessons.",5520.0,8201.0,216.7391304347826,11.0,9.0,3.57
35.0,0,0.0,12,2860.0,9642.0,199.875,4.0,6.0,12,EL,0.026660265401005745,0.043258361518383026,0.19531698524951935,0.012795834802091122,0.4875536859035492,0.03899791091680527,0.1954168826341629,0.0390308648347854,0.9055678248405457,0.0554012469947338,4.461538461538462,2.6999999999999997,0.5648333333333334,0.677,0.458,0.21933333333333335,0.279,0.173,35,"The next evening when the clock pointed to five minutes to seven, Mdlle.",2860.0,9642.0,199.875,4.0,6.0,3.57
36.0,0,0.0,12,1550.0,2148.0,170.4,1.0,2.0,6,EL,0.01230915728956461,0.2759627103805542,0.005988137796521187,0.08245614171028137,0.5762378573417664,0.035746995359659195,0.011299004778265953,0.0066491542384028,0.3863094747066498,0.6070414781570435,5.166666666666667,2.8739999999999997,0.7080000000000001,0.94,0.449,0.49633333333333335,0.528,0.455,36,"Enquête appeared, rosy from the frost.",1550.0,2148.0,170.4,1.0,2.0,3.57
37.0,0,0.0,12,2676.0,3780.0,175.36363636363637,3.0,3.0,17,EL,0.023232445120811462,0.03704266622662544,0.15137559175491333,0.030334806069731712,0.5095000267028809,0.019788552075624466,0.22872598469257355,0.0930116027593612,0.8349491357803345,0.0720392167568206,5.2105263157894735,2.8211764705882354,0.6273,0.757,0.5,0.3712,0.569,0.154,37,"She opened Margot, which she had brought with her, and without introduction began:  “French grammar has twenty-six letters.",2676.0,3780.0,175.36363636363637,3.0,3.0,3.57
38.0,0,0.0,12,1904.0,1514.0,169.91666666666666,3.0,1.0,9,EL,0.011555753648281097,0.00695777777582407,0.00661848671734333,0.015275169163942337,0.8575988411903381,0.008688021451234818,0.0933060273528099,0.0755990743637085,0.8690152168273926,0.055385798215866,3.6666666666666665,2.781428571428571,0.6028,0.67,0.49,0.37120000000000003,0.627,0.21,38,"The first letter is called A, the second B...”",1904.0,1514.0,169.91666666666666,3.0,1.0,3.57
